EVENT,REQUEST,RESPONSE
ModifyDBClusterParameterGroup,NAME: requestParameters.dBClusterParameterGroupName,NAME: responseElements.dBClusterParameterGroupName
ModifyDBClusterSnapshotAttribute,NAME: requestParameters.dBClusterSnapshotIdentifier,NAME: responseElements.dBClusterSnapshotIdentifier
ModifyDBInstance,NAME: requestParameters.dBInstanceIdentifier,"NAME: responseElements.dBInstanceIdentifier
ARN: responseElements.dBInstanceArn"
ModifyDBParameterGroup,NAME: requestParameters.dBParameterGroupName,NAME: responseElements.dBParameterGroupName
ModifyDBProxy,NAME: requestParameters.dBProxyName,"NAME: responseElements.dBProxy.dBProxyName
ARN: responseElements.dBProxy.dBProxyArn"
ModifyDBProxyEndpoint,NAME: requestParameters.dbProxyEndpointName,"NAME: responseElements.dBProxyEndpoint.dBProxyName
NAME: responseElements.dBProxyEndpoint.dbProxyEndpointName
ARN: responseElements.dBProxyEndpoint.dBProxyEndpointArn"
ModifyDBProxyTargetGroup,"NAME: requestParameters.dBProxyName
NAME: requestParameters.targetGroupName","NAME: responseElements.dBProxyTargetGroup.dBProxyName
NAME: responseElements.dBProxyTargetGroup.targetGroupName
ARN: responseElements.dBProxyTargetGroup.targetGroupArn"
ModifyDBRecommendation,,
ModifyDBShardGroup,,
ModifyDBSnapshot,NAME: requestParameters.dBSnapshotIdentifier,"NAME: responseElements.dBSnapshotIdentifier
NAME: repsonseElements.dBInstanceIdentifier
ARN: responseElements.dBSnapshotArn"
ModifyDBSnapshotAttribute,NAME: requestParameters.dBSnapshotIdentifier,NAME: responseElements.dBSnapshotIdentifier
ModifyDBSubnetGroup,NAME: requestParameters.dBSubnetGroupName,"NAME: responseElements.dbSubnetGroupName
ARN: responseElements.dbSubnetGroupArn"
ModifyEventSubscription,NAME: requestParameters.subscriptionName,ARN: responseElements.eventSubscriptionArn
ModifyGlobalCluster,NAME: requestParameters.globalClusterIdentifier,"NAME: responseElements.globalClusterName
ARN: responseElements.globalClusterArn"
ModifyIntegration,,
ModifyOptionGroup,NAME: requestParameters.optionGroupName,"NAME: responseElements.optionGroupName
ARN: responseElements.optionGroupArn"
ModifyTenantDatabase,,
