Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft DocumentDB,Managed Resource,Create and Update managed resource,Microsoft.DocumentDB/managedResources/write,Create/Update a managed resource,,False
Microsoft DocumentDB,Managed Resource,Delete managed resource,Microsoft.DocumentDB/managedResources/delete,Deletes the managed resource,,False
Microsoft DocumentDB,Managed Resource,Read managed resource,Microsoft.DocumentDB/managedResources/read,Reads the managed resource,,False
Microsoft DocumentDB,Mongo Cluster,Create or Update Mongo Cluster,Microsoft.DocumentDB/mongoClusters/write,Create or Update the properties or tags of the specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster,Deletes a Mongo Cluster,Microsoft.DocumentDB/mongoClusters/delete,Deletes the specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster,Read Mongo Clusters,Microsoft.DocumentDB/mongoClusters/read,Reads a Mongo Cluster or list all Mongo Clusters.,,False
Microsoft mongoClusters,Mongo Cluster Connection String,List Mongo Cluster Connection Strings,Microsoft.DocumentDB/mongoClusters/listConnectionStrings/action,List connection strings for a given Mongo Cluster,,False
Microsoft DocumentDB,Mongo Cluster Firewall Rule,Create/Update Mongo Cluster Firewall Rule,Microsoft.DocumentDB/mongoClusters/firewallRules/write,Create or Update a firewall rule on a specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster Firewall Rule,Delete Mongo Cluster Firewall Rule,Microsoft.DocumentDB/mongoClusters/firewallRules/delete,Deletes an existing firewall rule for the specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster Firewall Rule,Read Mongo Cluster Firewall Rules,Microsoft.DocumentDB/mongoClusters/firewallRules/read,Reads a firewall rule or lists all firewall rules for the specified Mongo Cluster.,,False
Microsoft mongoClusters,Mongo Cluster Private Endpoint Connection Approval,Approve Mongo Cluster Private Endpoint Connection,Microsoft.DocumentDB/mongoClusters/PrivateEndpointConnectionsApproval/action,Manage a private endpoint connection of Mongo Cluster,,False
Microsoft DocumentDB,Mongo Cluster Private Endpoint Connection Proxies,Create/Update Mongo Cluster Private Endpoint Connection Proxy,Microsoft.DocumentDB/mongoClusters/privateEndpointConnectionProxies/write,Create or Update a private endpoint connection proxy on a specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster Private Endpoint Connection Proxies,Delete Mongo Cluster Private Endpoint Connection Proxy,Microsoft.DocumentDB/mongoClusters/privateEndpointConnectionProxies/delete,Deletes an existing private endpoint connection proxy for the specified Mongo Cluster.,,False
