Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Logic,Workflow Diagnostic Setting,Get Workflow Diagnostic Setting,Microsoft.Logic/workflows/providers/Microsoft.Insights/diagnosticSettings/read,Reads the workflow diagnostic settings.,System,False
Microsoft Logic,Workflow Diagnostic Setting,Set Workflow Diagnostic Setting,Microsoft.Logic/workflows/providers/Microsoft.Insights/diagnosticSettings/write,Creates or updates the workflow diagnostic setting.,System,False
Microsoft Logic,Workflow Log Definition,Get Workflow Log Definition,Microsoft.Logic/workflows/providers/Microsoft.Insights/logDefinitions/read,Reads the workflow log definitions.,System,False
Microsoft Logic,Workflow Metric Definition,Get Workflow Metric Definition,Microsoft.Logic/workflows/providers/Microsoft.Insights/metricDefinitions/read,Reads the workflow metric definitions.,System,False
Microsoft Logic,Workflow Run,Cancel Workflow Run,Microsoft.Logic/workflows/runs/cancel/action,Cancels the run of a workflow.,,False
Microsoft Logic,Workflow Run,Delete Workflow Run,Microsoft.Logic/workflows/runs/delete,Deletes a run of a workflow.,,False
Microsoft Logic,Workflow Run,Get Workflow Run,Microsoft.Logic/workflows/runs/read,Reads the workflow run.,,False
Microsoft Logic,Workflow Run Action,Get Workflow Run Action,Microsoft.Logic/workflows/runs/actions/read,Reads the workflow run action.,,False
Microsoft Logic,Workflow Run Action,List Workflow Run Action Expression Traces,Microsoft.Logic/workflows/runs/actions/listExpressionTraces/action,Gets the workflow run action expression traces.,,False
Microsoft Logic,Workflow Run Action Repetition,Get Workflow Run Action Repetition,Microsoft.Logic/workflows/runs/actions/repetitions/read,Reads the workflow run action repetition.,,False
Microsoft Logic,Workflow Run Action Repetition,List Workflow Run Action Repetition Expression Traces,Microsoft.Logic/workflows/runs/actions/repetitions/listExpressionTraces/action,Gets the workflow run action repetition expression traces.,,False
Microsoft Logic,Workflow Run Action Scope Repetition,Get Workflow Run Action Scope Repetition,Microsoft.Logic/workflows/runs/actions/scoperepetitions/read,Reads the workflow run action scope repetition.,,False
Microsoft Logic,Workflow Run Operation,Get Workflow Run Operation Status,Microsoft.Logic/workflows/runs/operations/read,Reads the workflow run operation status.,,False
Microsoft Logic,Workflow Version,Get Workflow Version,Microsoft.Logic/workflows/versions/read,Reads the workflow version.,,False
Microsoft Logic,Workflow recommend operation group,Gets workflow recommend operation groups,Microsoft.Logic/locations/workflows/recommendOperationGroups/action,Gets the workflow recommend operation groups.,,False
Microsoft Logic,Workflow run action request history,Gets the workflow run action request history,Microsoft.Logic/workflows/runs/actions/requestHistories/read,Reads the workflow run action request history.,,False
Microsoft Logic,Workflow run repetition action request history,Gets the workflow run repetition action request history,Microsoft.Logic/workflows/runs/actions/repetitions/requestHistories/read,Reads the workflow run repetition action request history.,,False
