Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Web Apps,Web Apps,Sync Web Apps Function Triggers,microsoft.web/sites/host/sync/action,Sync Function Triggers.,"user,system",False
Microsoft Web Apps,Web Apps,Sync Web Apps Function Triggers for deployment slot,microsoft.web/sites/slots/syncfunctiontriggers/action,Sync Function Triggers for deployment slot.,"user,system",False
Microsoft Web Apps,Web Apps Backup,Get Web Apps Backup,microsoft.web/sites/backup/read,Get Web Apps Backup.,"user,system",False
Microsoft Web Apps,Web Apps Backup,Update Web Apps Backup,microsoft.web/sites/backup/write,Update Web Apps Backup.,"user,system",False
Microsoft Web Apps,Web Apps Backups,Delete Web Apps Backups,microsoft.web/sites/backups/delete,Delete Web Apps Backups.,"user,system",False
Microsoft Web Apps,Web Apps Backups,List Web Apps Backups,microsoft.web/sites/backups/list/action,List Web Apps Backups.,"user,system",False
Microsoft Web Apps,Web Apps Backups,Restore Web Apps Backups,microsoft.web/sites/backups/restore/action,Restore Web Apps Backups.,"user,system",False
Microsoft Web Apps,Web Apps Backups,Update Web Apps Backups,microsoft.web/sites/backups/write,Update Web Apps Backups.,"user,system",False
Microsoft Web Apps,Web Apps Config,Delete Web Apps Config,microsoft.web/sites/config/delete,Delete Web Apps Config.,"user,system",False
Microsoft Web Apps,Web Apps Config Snapshots,Get Web App Slots Config Snapshots,microsoft.web/sites/slots/config/snapshots/read,Get Web App Slots Config Snapshots.,"user,system",False
Microsoft Web Apps,Web Apps Config Snapshots,Get Web Apps Config Snapshots,microsoft.web/sites/config/snapshots/read,Get Web Apps Config Snapshots.,"user,system",False
Microsoft Web Apps,Web Apps Config Snapshots,Web Apps List Secrets From Snapshot,microsoft.web/sites/config/snapshots/listsecrets/action,Web Apps List Secrets From Snapshot.,"user,system",False
Microsoft Web Apps,Web Apps Config Snapshots,Web Apps List Slot Secrets From Snapshot,microsoft.web/sites/slots/config/snapshots/listsecrets/action,Web Apps List Slot Secrets From Snapshot.,"user,system",False
Microsoft Web Apps,Web Apps Container Logs,Download Web Apps Container Logs,microsoft.web/sites/containerlogs/download/action,Download Web Apps Container Logs.,"user,system",False
Microsoft Web Apps,Web Apps Continuous Web Jobs,Delete Web Apps Continuous Web Jobs,microsoft.web/sites/continuouswebjobs/delete,Delete Web Apps Continuous Web Jobs.,"user,system",False
Microsoft Web Apps,Web Apps Continuous Web Jobs,Get Web Apps Continuous Web Jobs,microsoft.web/sites/continuouswebjobs/read,Get Web Apps Continuous Web Jobs.,"user,system",False
