Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Azure ServiceBus,ServiceBus Resource Provider,Registers the ServiceBus Resource Provider,Microsoft.ServiceBus/unregister/action,Registers the subscription for the ServiceBus resource provider and enables the creation of ServiceBus resources,,False
Microsoft Azure ServiceBus,Sku,Get Sku,Microsoft.ServiceBus/sku/read,Get list of Sku Resource Descriptions,,False
Microsoft Azure ServiceBus,SkuRegions,Get SkuRegions,Microsoft.ServiceBus/sku/regions/read,Get list of SkuRegions Resource Descriptions,,False
Microsoft Azure ServiceBus,Topic,Create or Update Topic,Microsoft.ServiceBus/namespaces/topics/write,Create or Update Topic properties.,,False
Microsoft Azure ServiceBus,Topic,Delete Topic,Microsoft.ServiceBus/namespaces/topics/Delete,Operation to delete Topic Resource,,False
Microsoft Azure ServiceBus,Topic,Get Topic,Microsoft.ServiceBus/namespaces/topics/read,Get list of Topic Resource Descriptions,,False
Microsoft Azure ServiceBus,Topic AuthorizationRules, Get Topic Authorization Rules,Microsoft.ServiceBus/namespaces/topics/authorizationRules/read, Get the list of Topic Authorization Rules,,False
Microsoft Azure ServiceBus,Topic AuthorizationRules,Create or Update Topic Authorization Rule,Microsoft.ServiceBus/namespaces/topics/authorizationRules/write,Create Topic Authorization Rules and Update its properties. The Authorization Rules Access Rights can be updated.,,False
Microsoft Azure ServiceBus,Topic AuthorizationRules,Delete Topic Authorization Rules,Microsoft.ServiceBus/namespaces/topics/authorizationRules/delete,Operation to delete Topic Authorization Rules,,False
Microsoft Azure ServiceBus,Topic AuthorizationRules,List Topic keys,Microsoft.ServiceBus/namespaces/topics/authorizationRules/listkeys/action,Get the Connection String to Topic,,False
Microsoft Azure ServiceBus,Topic AuthorizationRules,Resource Regeneratekeys,Microsoft.ServiceBus/namespaces/topics/authorizationRules/regenerateKeys/action,Regenerate the Primary or Secondary key to the Resource,,False
Microsoft Azure ServiceBus,Topic AuthorizationRules,Update Topic Authorization Rules (Deprecated),Microsoft.ServiceBus/namespaces/topics/authorizationRules/action,Operation to update Topic. This operation is not supported on API version 2017-04-01. Authorization Rules. Please use a PUT call to update Authorization Rule.,,False
Microsoft Azure ServiceBus,TopicSubscription,Create or Update TopicSubscription,Microsoft.ServiceBus/namespaces/topics/subscriptions/write,Create or Update TopicSubscription properties.,,False
Microsoft Azure ServiceBus,TopicSubscription,Delete TopicSubscription,Microsoft.ServiceBus/namespaces/topics/subscriptions/Delete,Operation to delete TopicSubscription Resource,,False
Microsoft Azure ServiceBus,TopicSubscription,Get TopicSubscription,Microsoft.ServiceBus/namespaces/topics/subscriptions/read,Get list of TopicSubscription Resource Descriptions,,False
Microsoft Azure ServiceBus,Virtual Network Rule,Create VNET Rule Resource,Microsoft.ServiceBus/namespaces/virtualNetworkRules/write,Create VNET Rule Resource,,False
Microsoft Azure ServiceBus,Virtual Network Rule,Delete VNET Rule Resource,Microsoft.ServiceBus/namespaces/virtualNetworkRules/delete,Delete VNET Rule Resource,,False
Microsoft Azure ServiceBus,Virtual Network Rule,Gets VNET Rule Resource,Microsoft.ServiceBus/namespaces/virtualNetworkRules/read,Gets VNET Rule Resource,,False
