AllocateAddress,,ID: responseElements.allocationId,,
AllocateHosts,,ID: responseElements.AllocateHostsResponse.hostIdSet[*],,
AssociateAddress,ID: requestParameters.instanceId,,,
AssociateIamInstanceProfile,ID: requestParameters.AssociateIamInstanceProfileRequest.InstanceId,,,
AssociateInstanceEventWindow,ID: requestParameters.AssociateInstanceEventWindowRequest.InstanceEventWindowId,,,
BundleInstance,ID: requestParameters.instanceId,,,
CancelBundleTask,ID: requestParameters.bundleId,ID: responseElements.instanceId,,
CancelCapacityReservation,ID: requestParameters.CancelCapacityReservation.CapacityReservationId,,,
CancelCapacityReservationFleets,ID: requestParameters.CancelCapacityReservationFleets.CapacityReservationFleetId[*].content,,,
CancelImageLaunchPermission,ID: requestParameters.CancelImageLaunchPermission.ImageId,,,
CancelReservedInstancesListing,ID: requestParameters.reservedInstancesListingId,,,
CancelSpotFleetRequests,ID: requestParameters.CancelSpotFleetRequests.SpotFleetRequestId[*].content,,,
CancelSpotInstanceRequests,ID: requestParameters.spotInstanceRequestIdSet.items[*].spotInstanceRequestId,,,
ConfirmProductInstance,ID: requestParameters.instanceId,,,
CopyFpgaImage,ID: requestParameters.CopyFpgaImage.SourceFpgaImageId,,,
CopyImage,ID: requestParameters.sourceImageId,,,
CreateCapacityReservation,,ARN: responseElements.CreateCapacityReservationResponse.capacityReservation.capacityReservationArn,,
CreateCapacityReservationFleet,,ID: responseElements.CreateCapacityReservationFleetResponse.capacityReservationFleetId,,
CreateFleet,,ID: responseElements.CreateFleetResponse.fleetId,,
CreateFpgaImage,Name: requestParameters.CreateFpgaImageRequest.Name,ID: responseElements.CreateFpgaImageResponse.fpgaImageId,,
CreateImage,,ID: responseElements.imageId,,
CreateInstanceConnectEndpoint,,ARN: responseElements.CreateInstanceConnectEndpointResponse.instanceConnectEndpoint.instanceConnectEndpointArn,,
CreateInstanceEventWindow,,ID: responseElements.CreateInstanceEventWindowResponse.instanceEventWindow.instanceEventWindowId,,
CreateKeyPair,,ID: responseElements.keyPairId,,
CreateLaunchTemplate,Name: requestParameters.CreateLaunchTemplateRequest.LaunchTemplateName,ID: responseElements.CreateLaunchTemplateResponse.launchTemplate.launchTemplateId,,
CreateLaunchTemplateVersion,"ID: requestParameters.CreateLaunchTemplateVersionRequest.LaunchTemplateId
Name: ID: requestParameters.CreateLaunchTemplateVersionRequest.LaunchTemplateName",,,
CreatePlacementGroup,Name: requestParameters.groupName,"ARN: responseElements.placementGroup.groupArn
ID: responseElements.placementGroup.groupId",,
CreateReservedInstancesListing,ID: requestParameters.reservedInstancesId,,,
CreateRestoreImageTask,,ID: responseElements.CreateRestoreImageTaskResponse.imageId,,
CreateSpotDatafeedSubscription,Name: requestParameters.bucket,,,
CreateStoreImageTask,ID: requestParameters.CreateStoreImageTask.ImageId,,,
CreateTags,ID: requestParameters.resourcesSet.items[*].resourceId,,,
DeleteFleets,ID: requestParameters.DeleteFleetsRequest.FleetId[*].content,,,
DeleteInstanceConnectEndpoint,ID: requestParameters.DeleteInstanceConnectEndpointRequest.InstanceConnectEndpointId,ARN: responseElements.DeleteInstanceConnectEndpointResponse.instanceConnectEndpoint.instanceConnectEndpointArn,,
DeleteInstanceEventWindow,ID: requestParameters.DeleteInstanceEventWindow.InstanceEventWindowId,,,
DeleteKeyPair,"ID: requestParameters.keyPairId
Name: requestParameters.keyName",,,
DeleteLaunchTemplate,ID: requestParameters.DeleteLaunchTemplateRequest.LaunchTemplateId,,,
DeleteLaunchTemplateVersions,"Name: requestParameters.DeleteLaunchTemplateVersionsRequest.LaunchTemplateName
ID: requestParameters.DeleteLaunchTemplateVersionsRequest.LaunchTemplateId",,,
DeletePlacementGroup,Name: requestParameters.groupName,,,
DeleteQueuedReservedInstances,ID: requestParameters.DeleteQueuedReservedInstancesRequest.ReservedInstancesId[*].content,,,
DeleteSpotDatafeedSubscription,,,,
DeleteTags,ID: requestParameters.resourcesSet.items[*].resourceId,,,
DeprovisionByoipCidr,ID: requestParameters.DeprovisionByoipCidrRequest.Cidr,,,
DeregisterImage,ID: requestParameters.imageId,,,
DeregisterInstanceEventNotificationAttributes,ID: requestParameters.DeregisterInstanceEventNotificationAttributesRequest.InstanceTagAttribute.InstanceTagKeys,,,
DisableAddressTransfer,ID: requestParameters.DisableAddressTransferRequest.AllocationId,,,
DisableFastLaunch,ID: requestParameters.DisableFastLaunchRequest.ImageId,,,
DisableImageDeprecation,ID: requestParameters.DisableImageDeprecationRequest.ImageId,,,
DisableSerialConsoleAccess,,,,
DisassociateAddress,,,,
DisassociateIamInstanceProfile,ID: requestParameters.DisassociateIamInstanceProfileRequest.AssociationId,ID: responseElements.DisassociateIamInstanceProfileResponse.iamInstanceProfileAssociation.instanceId,,
DisassociateInstanceEventWindow,ID: requestParameters.DisassociateInstanceEventWindowRequest.InstanceEventWindowId,,,
EnableAddressTransfer,ID: requestParameters.EnableAddressTransferRequest.AllocationId,,,
EnableFastLaunch,ID: requestParameters.EnableFastLaunchRequest.ImageId,,,
EnableImageDeprecation,ID: requestParameters.EnableImageDeprecationRequest.ImageId,,,
EnableSerialConsoleAccess,,,,
ImportKeyPair,Name: requestParameters.keyName,ID: responseElements.keyPairId,,
ModifyAddressAttribute,ID: requestParameters.ModifyAddressAttributeRequest.AllocationId,,,
ModifyAvailabilityZoneGroup,ID: requestParameters.ModifyAvailabilityZoneGroupRequest.GroupName,,,
ModifyCapacityReservation,ID: requestParameters.ModifyCapacityReservationRequest.CapacityReservationId,,,
ModifyCapacityReservationFleet,ID: requestParameters.ModifyCapacityReservationFleetRequest.CapacityReservationFleetId,,,
ModifyDefaultCreditSpecification,,,,
ModifyFleet,ID: requestParameters.ModifyFleetRequest.FleetId,,,
ModifyFpgaImageAttribute,ID: requestParameters.ModifyFpgaImageAttributeRequest.FpgaImageId,,,
ModifyHosts,ID: requestParameters.ModifyHostsRequest.HostId[*].content,,,
ModifyIdentityIdFormat,ARN: requestParameters.ModifyIdentityIdFormatRequest.PrincipalArn,,,
ModifyIdFormat,Name: requestParameters.resource,,,
ModifyImageAttribute,ID: requestParameters.imageId,,,
ModifyInstanceAttribute,ID: requestParameters.instanceId,,,
ModifyInstanceCapacityReservationAttributes,ID: requestParameters.ModifyInstanceCapacityReservationAttributesRequest.InstanceId,,,
ModifyInstanceCreditSpecification,,,,
ModifyInstanceEventStartTime,ID: requestParameters.ModifyInstanceEventStartTimeRequest.InstanceId,,,
ModifyInstanceEventWindow,ID: requestParameters.ModifyInstanceEventWindowRequest.InstanceEventWindowId,,,
