Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Compute,Virtual Machine Scale Sets Rolling Upgrades,Gets the latest Rolling Upgrade status for a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/rollingUpgrades/read,Get latest Rolling Upgrade status for a Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scalet Set Metric Definitions,Get Virtual Machine Scalet Set Metric Definitions,Microsoft.Compute/virtualMachineScaleSets/providers/Microsoft.Insights/metricDefinitions/read,Reads Virtual Machine Scalet Set Metric Definitions,system,FALSE
Microsoft Compute,Virtual Machine Size,Lists Available Virtual Machine Sizes,Microsoft.Compute/virtualMachines/vmSizes/read,Lists available sizes the virtual machine can be updated to,"user,system",FALSE
Microsoft Compute,Virtual Machine Size Recommendations,Generate VMSize Recommendations,Microsoft.Compute/locations/vmSizeRecommendations/generate/action,Create a request for generating VMSize Recommendations,"user,system",FALSE
Microsoft Compute,Virtual Machine Size for Availability set,List Virtual Machine Sizes for Availability Set,Microsoft.Compute/availabilitySets/vmSizes/read,List available sizes for creating or updating a virtual machine in the availability set,"user,system",FALSE
Microsoft Compute,Virtual Machine Size for Virtual Machine Scale Set,List Virtual Machine Sizes for a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/vmSizes/read,List available sizes for creating or updating a virtual machine in the Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Sizes,List Available Virtual Machine Sizes in Location,Microsoft.Compute/locations/vmSizes/read,Lists available virtual machine sizes in a location,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Approves deferred rolling upgrade for a Virtual Machine instance in a Virtual Machine Scale Set.,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/approveRollingUpgrade/action,Approves deferred rolling upgrade for Virtual Machine instance in a Virtual Machine Scale Set.,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Attach Detach data disks to a Virtual Machine instance in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/attachDetachDataDisks/action,Attaches Detaches existing data disks to a Virtual Machine instance in a VM Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Deallocate Virtual Machine in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/deallocate/action,Powers off and releases the compute resources for a Virtual Machine in a VM Scale Set.,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Delete Virtual Machine in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/delete,Delete a specific Virtual Machine in a VM Scale Set.,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Gets the properties of a Virtual Machine in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/read,Retrieves the properties of a Virtual Machine in a VM Scale Set,"user,system",FALSE
